"refNum","Стара оферта","Score","Оператор","ID при оператора (spo)","PV id","PV заглавие"
"Е731","Катар 2026 – Формула 1 Гран При (от Варна, 3 нощувки, вариант 2)","0.3","Exotic Holiday","3570","13-3570","ФОРМУЛА 1 GRAND PRIX КАТАР 2026 – С ПРЕДСТАВИТЕЛ ОТ БЪЛГАРИЯ - 4 НОЩУВКИ"
"Е613","САЩ – Бостън, Ню Йорк, Вашингтон, Маями + Торонто и Ниагара","0.29","2МКО","1601","20-1601","САЩ - МАЯМИ"
"П1158","Сейшелите – екзотична почивка сред райски плажове","0.29","Bohemia","6000005157","21-6000005157","Почивка на СЕЙШЕЛИТЕ - Екзотична морска почивка на о-в Махе!"
"Е681","Виетнам – Златния мост, Халонг, Ханой, Хой Ан и почивка на о-в Фу Куок","0.29","Alexander Tour","954","55-954","НОВА ГОДИНА 2027  ВИЕТНАМ – ХОЙ АН – ЗЛАТНИЯ МОСТ – ОСТРОВ ФУ КОК  И ЕКСКУРЗИЯ В КУАЛА ЛУМПУР"
"П962","В ритъма на доминиканското слънце – Пунта Кана","0.25","Axivo Travel","316","200-316","Доминикански дует: Пунта Кана vs. Байяибе"
"Е404","САЩ – Западен бряг","0.25","2МКО","1601","20-1601","САЩ - МАЯМИ"
"Е380","САЩ и Канада – Новият свят","0.25","2МКО","173","20-173","КАНАДА"
"Е301","Китай – Необятно разнообразие","0.25","Rual Travel","4618","31-4618","Величието на Китай"
"Е738","Мароко – Южна магия (8 дни)","0.25","Rual Travel","4607","31-4607","Мароко - Имперски тур"
"П1070","Почивка в Тенерифе (Alexandre Hotel Gala 4★)","0.2","Emerald Travel","1639","123-1639","Почивка в Испания - остров Тенерифе, директни чартъри от София - ALEXANDRE HOTELS"
"Е437","Истанбул и Кападокия – запомнящо преживяване","0.2","GlobalTour","4275","68-4275","Предколедна екскурзия до Истанбул"
"Е736","Дъхът на Краков","0.2","Bohemia","6000005307","21-6000005307","Екскурзия в ПОЛША - КРАКОВ на един дъх"
"Е226","Ирландия – 40 нюанса зелено","0.2","Exotic Holiday","2847","13-2847","Ирландия – история и наследство"
"Е551","Перу – Лима, Наска, Аракипа, Титикака и Мачу Пикчу","0.19","2МКО","1882","20-1882","ПЕРУ ДО ИЗГУБЕНИЯ ГРАД МАЧУ ПИКЧУ И МНОГО ПОВЕЧЕ -ПОТВЪРДЕНА ГРУПА!-НЯМА СВОБОДНИ МЕСТА"
"Е575","Дубай – вълнуваща обиколка на града за 6 дни","0.17","GlobalTour","4339","68-4339","Екскурзия Обиколка на Мраморно море"
"П1072","Почивка в Тенерифе (Checkin Concordia Playa 4★)","0.13","Bohemia","6000004474","21-6000004474","Почивка в ИСПАНИЯ - ТЕНЕРИФЕ - островът на вечното лято!"
