"refNum","Стара оферта","Score","Оператор","ID при оператора (spo)","PV id","PV заглавие"
"П988","Почивка в Алания (самолет от София, неделя, 7 нощувки)","0.75","Emerald Travel","558","123-558","Почивка в Алания, Турция със самолет от София в Неделя - 7 нощувки"
"П1134","Почивка в Сиде (самолет от София, неделя, 7 нощувки)","0.75","Emerald Travel","565","123-565","Почивка в Сиде, Турция със самолет от София в Неделя - 7 нощувки"
"П922","Почивка в Бодрум (самолет от София, четвъртък, 7 нощувки)","0.75","Emerald Travel","55","123-55","Почивка в Бодрум, Турция със самолет от София в Четвъртък - 7 нощувки"
"Е737","Ница – „Le beau voyage"" (самолет, на български)","0.75","Bohemia","6000003716","21-6000003716","Ница - &quot;Le beau voyage&quot; - със самолет и обслужване на български език!"
"Е501","Европейските столици – Будапеща, Братислава, Прага и Виена","0.75","Doris","210","111-210","Европейските столици преди Коледа - Будапеща, Братислава, Прага и Виена"
"Е455","Легенди от Румъния – Букурещ, Синая, Бран и Брашов","0.75","AdvenTour","441","138-441","Легенди от Румъния ✔️ Букурещ, Синая, Бран и Брашов ✔️ от Кюстендил и Перник"
"Е507","Исландия – страната на елфите, троловете и северното сияние","0.75","Rual Travel","3849","31-3849","Исландия - страната на елфите, троловете и северното сияние - октомври 2026"
"Е127","САЩ – Източно и Западно крайбрежие с круиз по Бахамите","0.71","2МКО","1992","20-1992","САЩ - Източно и Западно крайбрежиe, с круиз по Бахамите"
"Е713","Екскурзия до Кавала, остров Тасос и плажът Амолофи","0.71","AnaTravel","724","26-724","Екскурзия до Кавала, остров Тасос и плажът Амолофи с две нощувки в хотел Esperia 3***"
"П1041","Йордания от А до Я – Петра и пустинята Уади Рум","0.71","Abax.bg","3038","109-3038","Йордания от А до Я - Петра и пустинята Уади Рум - BESTSELLER - хотели 4* - полет от Варна"
"Е252","Почивка на остров Закинтос – перлата на Йонийските острови","0.71","AnaTravel","994","26-994","Екскурзия до Остров Закинтос - Перлата на Йонийските острови, 4 нощувки със закуски и вечери"
"Е579","САЩ Западно крайбрежие с круиз по Бахамите","0.67","2МКО","1590","20-1590","САЩ - Западно крайбрежиe, с круиз по Бахамите"
"П1160","All Inclusive почивка в Хургада – с полет от Пловдив","0.67","Abax.bg","3274","109-3274","All Inclusive почивка в Хургада с полет от Пловдив - ЕСЕН 2026"
"Е706","Природен феномен Метеора – Катерини Паралия – Солун","0.67","AnaTravel","313","26-313","Екскурзия до Метеора, Паралия Катерини и Солун"
"Е702","Почивка на остров Евия в Едипсос – море и СПА оазис","0.67","AlbatrosTours","262","139-262","Почивка ГЪРЦИЯ на остров ЕВИЯ в ЕДИПСОС море и СПА оазис - дар за Херакъл!"
"П1048","8 дни в Анталия – турската ривиера (полет от София)","0.67","Abax.bg","2988","109-2988","8 дни в Анталия - Турската ривиера Ви очаква с полет от София 2026"
"П723","Почивка в Тунис (самолет от София, сряда, 7 нощувки)","0.67","Emerald Travel","1527","123-1527","Почивка в Тунис със самолет от София - 7 нощувки"
"П862","Почивка в Испания – Коста дел Сол (хотел Fuengirola Park 4★)","0.67","Bohemia","1100005849","21-1100005849","Почивка в ИСПАНИЯ - КОСТА ДЕЛ СОЛ, хотел &quot;Fuengirola Park&quot; **** -  със самолет и обслужване на български език! Гарантирани места!"
"П898","Почивка в Испания – Тенерифе (директни чартъри)","0.67","Emerald Travel","1526","123-1526","Почивка в Испания - остров Тенерифе, директни чартъри от София"
"П935","Почивка в Италия – Сицилия (хотел Sporting Baia 4★)","0.67","Bohemia","1100006311","21-1100006311","Почивка в  ИТАЛИЯ - СИЦИЛИЯ, хотел Sporting Baia 4* - със самолет и обслужване на български език! Гарантирани места!"
"П726","Почивка в Алания (автобус от София, 7 нощувки)","0.67","Doris","851","111-851","Почивка в Алания с чартърен полет от София"
"П1057","Почивка в Кушадасъ (автобус от София, 12 нощувки)","0.67","Emerald Travel","671","123-671","Почивка в Кушадасъ, Турция с автобус от София - 5 нощувки"
"П1090","Почивка в Кушадасъ 2026 (самолет от София до Измир)","0.67","ToursClub","234","44-234","Почивка в Кушадасъ 2026: Самолетна програма със 7 нощувки с полет от София до Измир"
"П758","Почивка в Дидим (автобус от София, 7 нощувки)","0.67","Emerald Travel","709","123-709","Почивка в Дидим, Турция с автобус от София - 7 нощувки"
"П1117","Почивка в Алания (самолет от София, 7 нощувки)","0.67","Doris","851","111-851","Почивка в Алания с чартърен полет от София"
"П1055","Почивка в Сиде (самолет от София, 7 нощувки)","0.67","Emerald Travel","574","123-574","Почивка в Сиде, Турция с автобус от София - 7 нощувки"
"П926","Почивка в Алания (самолет от София, 5 нощувки)","0.67","Doris","851","111-851","Почивка в Алания с чартърен полет от София"
"П925","Почивка в Анталия (полет от София)","0.67","OnexTour","36","94-36","Почивка в Анталия, Турция с полет от София"
"П943","Почивка в Белек (самолет от София, 7 нощувки)","0.67","Emerald Travel","186","123-186","Почивка в Белек, Турция с автобус от София - 7 нощувки"
"П1121","Почивка в Чешме (самолет от София, 7 нощувки)","0.67","ToursClub","1901","44-1901","Почивка в Чешме от София с полет до Измир"
"Е676","Екскурзия в Италия – Рим, магията на Империята (4 нощувки, втора програма)","0.67","Bohemia","6000003434","21-6000003434","Екскурзия в ИТАЛИЯ - РИМ - магията на Империята, 4 нощувки със самолет и обслужване на български език!"
"Е704","Почивка на остров Тасос","0.67","Odans Travel","888","11-888","Мини Почивка на остров Тасос - 3 нощувки"
"Е474","Екскурзия в Дания – Копенхаген, градът на приказките","0.67","Bohemia","6000004796","21-6000004796","Екскурзия в ДАНИЯ - КОПЕНХАГЕН, градът на приказките и щастливите хора"
