"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"Е598","Загадъчната Босна – екскурзия с автобус","383","4","0.9","1","1","1","0","Bohemia","6000002609","21-6000002609","383.00","Загадъчната Босна - екскурзия с автобус"
"Е381","Исландия – красота отвъд всички представи","2010","6","0.9","1","1","1","0","Karta Holiday","57","98-57","2010.00","Исландия – Красота отвъд всички представи!"
"Е451","Исландия – земя от лава и лед","2219","4","0.9","1","1","1","0","2МКО","1717","20-1717","2219.01","ИСЛАНДИЯ - ЗЕМЯ ОТ ЛАВА И ЛЕД"
"Е626","Почивка и екскурзия до Френска Полинезия и Нова Зеландия","8948","13","0.9","1","1","1","0","Alexander Tour","871","55-871","8947.61","ПОЧИВКА И ЕКСКУРЗИЯ ДО ФРЕНСКА ПОЛИНЕЗИЯ И НОВА ЗЕЛАНДИЯ"
"П1137","Почивка на о-в Крит 2026 (директен полет от София)","425","7","0.896","1","0.7","1","0.8","Abax.bg","3143","109-3143","416.19","Почивка на о-в Крит 2026 с директен полет от София"
"П1049","All Inclusive почивка в Шарм ел Шейх – Лято-Есен 2026","648","7","0.893","0.88","1","1","0.56","Abax.bg","2999","109-2999","648.32","All Inclusive Почивка в Шарм ел Шейх - Лято-Есен 2026 - полет от София"
"П850","Почивка в Малта – островът на рицарите (4 нощувки)","587","4","0.891","1","0.7","1","0.75","Bohemia","1100019338","21-1100019338","605.00","Почивка в Малта - островът на рицарите - 4 нощувки"
"П762","Почивка в Испания – Палма де Майорка (7 нощувки)","688","7","0.875","0.75","1","1","1","Emerald Travel","1415","123-1415","689.00","Почивка в Испания - Палма де Майорка, със самолет от София - 7 нощувки"
"Е700","Коледа в ОАЕ – Най-доброто от Дубай и Абу Даби (8 дни)","1315","7","0.875","0.78","1","1","0.86","Bohemia","6000005240","21-6000005240","1315.00","Коледа в ОАЕ - Най-доброто от ДУБАЙ и АБУ ДАБИ - 8 дни,  с полет на Wizz Air!"
"П1128","Почивка на о-в Крит 2026 – с включени екскурзии и директен полет","841","7","0.867","0.8","1","1","0.67","Abax.bg","3145","109-3145","841.08","Почивка на о-в Крит 2026 с включени екскурзии и директен полет от София"
"Е433","Ваканция в Египет – Кайро, Хургада и круиз по река Нил","1190","7","0.866","0.88","1","1","0.29","Bohemia","6000004118","21-6000004118","1190.00","Ваканция в ЕГИПЕТ - КАЙРО, ХУРГАДА И КРУИЗ ПО РЕКА НИЛ - с вътрешен полет!"
"Е425","Ваканция в Египет – Хургада, Кайро и круиз по река Нил","1195","7","0.866","0.88","1","1","0.29","Bohemia","6000004118","21-6000004118","1190.00","Ваканция в ЕГИПЕТ - КАЙРО, ХУРГАДА И КРУИЗ ПО РЕКА НИЛ - с вътрешен полет!"
"Е546","Съкровищата на Древен Египет – Кайро, Луксор, Хургада и оазис Фаюм","1169","7","0.844","0.89","1","1","0","Bohemia","6000004864","21-6000004864","1169.00","Съкровищата на ДРЕВЕН ЕГИПЕТ - КАЙРО, ЛУКСОР, ХУРГАДА и оазис ФАЮМ с вътрешен полет!"
"Е235","Екскурзия в Италия – Бари, Пулия (3 нощувки в хотел 3★)","359","3","0.842","0.75","1","1","0.67","Bohemia","6000004328","21-6000004328","359.00","Екскурзия в ИТАЛИЯ - БАРИ, Пулия - 3 нощувки в хотел 3*! Самолетна програма на български език!"
"Е688","Екскурзия в Италия – Перуджа, Умбрия (4 нощувки в хотел 3★)","474","4","0.842","0.75","1","1","0.67","Bohemia","6000004858","21-6000004858","474.00","Екскурзия в ИТАЛИЯ - ПЕРУДЖА, Умбрия - 4 нощувки в хотел 3*! Самолетна програма на български език!"
"П1155","Имперските столици – бюджетен вариант (Маракеш → Фес)","1050","7","0.84","0.86","1","1","0.11","Abax.bg","3162","109-3162","1050.00","ИМПЕРСКИТЕ СТОЛИЦИ - БЮДЖЕТЕН ВАРИАНТ от Маракеш до Фес- полет от София 16.10"
"Е500","Копенхаген","705","4","0.84","1","1","0.5","0","Rual Travel","4529","31-4529","705.00","Копенхаген"
"П1144","Мароко – цветове, аромати и приключения (7 нощувки в Маракеш)","518","7","0.833","0.83","1","1","0.17","Abax.bg","3222","109-3222","517.94","Мароко – цветове, аромати и приключения - 7 нощувки в Маракеш с полет от София"
"П1105","Перлите на Пулия и Кампания (полет от Варна до Бари)","970","7","0.831","0.83","1","1","0.14","Abax.bg","3179","109-3179","969.92","Перлите на Пулия и Кампания -  полет от Варна до Бари - BUDGET"
"П1141","Андалусия – Душата на Испания (Коста дел Сол + 3 екскурзии)","909","7","0.829","0.86","1","1","0","Abax.bg","3131","109-3131","908.57","Андалусия - Душата на Испания - Коста дел Сол с БОНУС 3 екскурзии"
"Е410","САЩ – Източно крайбрежие – Ню Йорк, Ниагарски водопад и Чикаго","4225","8","0.824","1","1","0","0.44","Bohemia","6000005146","21-6000005146","4225.00","Екскурзия в САЩ - ИЗТОЧНО КРАЙБРЕЖИЕ - Ню Йорк, Ниагарски водопад и Чикаго"
"Е703","За един ден на екскурзия и плаж до Неа Ираклица, Гърция","50","0","0.82","1","1","0","0.4","GlobalTour","3652","68-3652","50.40","За един ден на екскурзия и плаж до Неа Ираклица, Гърция"
"Е705","Почивка на остров Крит на база All Inclusive","845","7","0.817","0.83","1","1","0","Profi Tours","719564672","141-719564672","845.00","Почивка на остров Крит на база All Inclusive 7 нощувки / 8 дни 2026"
"П1108","Почивка във Венеция – магията на Северна Италия","641","7","0.817","0.83","1","1","0","Abax.bg","3017","109-3017","640.65","ПОЧИВКА ВЪВ ВЕНЕЦИЯ - МАГИЯТА НА СЕВЕРНА ИТАЛИЯ - 7 нощувки - полет от София"
"Е638","Корфу – островът на нимфите (Potamaki Beach)","280","4","0.817","0.83","1","1","0","Bohemia","6000002852","21-6000002852","280.00","Корфу - островът на нимфите - хотел &quot;Potamaki Beach&quot; 3*"
"Е646","Богатството и романтиката на Катар (от София 2025/2026)","1120","5","0.817","0.83","1","1","0","Exotic Holiday","2470","13-2470","1120.00","БОГАТСТВОТО И РОМАНТИКАТА НА КАТАР ОТ СОФИЯ 2026"
"Е589","Рио де Жанейро и Амазония","3738","7","0.816","1","0.7","1","0","2МКО","1521","20-1521","3686.41","РИО ДЕ ЖАНЕЙРО и АМАЗОНИЯ"
"Е453","Екскурзия до Ню Йорк","3669","5","0.816","1","0.7","1","0","2МКО","1610","20-1610","3617.39","НЮ ЙОРК"
"Е591","Хаваи","4126","6","0.816","1","0.7","1","0","2МКО","2004","20-2004","4075.00","ХАВАИ"
"Е590","Сингапур и Бали","2856","9","0.816","1","0.7","1","0","2МКО","1986","20-1986","2804.44","СИНГАПУР И БАЛИ"
"Е587","Япония и Сеул","4441","12","0.816","1","0.7","1","0","2МКО","2030","20-2030","4389.00","ЯПОНИЯ И СЕУЛ"
"Е709","Почивка на остров Лефкада","340","5","0.816","1","0.7","1","0","Doris","522","111-522","329.80","Почивка на остров Лефкада"
"Е568","Почивка в Дубай и Абу Даби – 6 дни (полет на Wizz Air)","620","5","0.816","0.83","0.7","1","0.83","KaraciTours","51133","160-51133","650.00","Приключения в Абу Даби и Дубай – 6 дни с полет на Wizz Air"
"Е509","Перлите на Португалия","1277","7","0.816","1","0.7","1","0","Bohemia","6000003251","21-6000003251","1259.00","Перлите на Португалия"
"П1156","Мароко от А до Я (от Фес до Маракеш, хотели 3*/4*)","1094","7","0.815","0.75","1","1","0.4","Abax.bg","3047","109-3047","1094.16","МАРОКО от А до Я  - от Фес до Маракеш -хотели 3*/4*-  09.10, 23.10 - полет от София"
"П1041","Йордания от А до Я – Петра и пустинята Уади Рум","766","7","0.814","0.71","1","1","0.57","Abax.bg","3035","109-3035","766.43","Йордания от А до Я - Петра и пустинята Уади Рум - BESTSELLER - хотели 4* - полет от София"
"Е726","Почивка в Коста дел Сол – Малага, Испания","856","7","0.813","0.83","0.7","1","0.8","Profi Tours","719564644","141-719564644","890.00","Почивка в Коста дел Сол - Малага, Испания 2026"
"Е615","Екскурзия и шопинг в Одрин","49","0","0.813","1","1","0","0.33","GlobalTour","5","68-5","49.00","Екскурзия и шопинг в Одрин"
"П1062","Почивка в Лара, Турция (полет от Пловдив)","691","7","0.808","0.75","1","1","0.33","OnexTour","235","94-235","691.00","Почивка в Лара, Турция с полет от Пловдив до Анталия"
"П1132","Почивка в Испания – Мурсия, Ла Манга дел Мар Менор","619","7","0.808","0.75","1","1","0.33","Bohemia","1100005862","21-1100005862","619.00","Почивка в ИСПАНИЯ - МУРСИЯ, ЛА МАНГА ДЕЛ МАР МЕНОР -  със самолет и обслужване на български език! Гарантирани места!"
"П1075","Почивка в Малта – островът на рицарите (7 нощувки)","790","7","0.807","1","0.4","1","0.75","Bohemia","1100019333","21-1100019333","849.00","Почивка в Малта - островът на рицарите - 7 нощувки"
"П1089","Почивка в Бодрум 2026 (самолетна програма, 7 нощувки)","354","7","0.807","1","0.4","1","0.75","ToursClub","232","44-232","395.00","Почивка в Бодрум 2026: Самолетна програма със 7 нощувки"
"Е732","Карибски круиз с Пуерто Рико","2295","9","0.8","0.8","1","1","0","Apollo 2000 Ltd.","380","36-380","2295.00","Карибски круиз с Пуерто Рико 28.01.2027"
"П1147","Екзотична почивка в Мадагаскар – остров Нуси Бе","2199","7","0.8","0.8","1","1","0","Abax.bg","3217","109-3217","2199.00","ЕКЗОТИЧНА ПОЧИВКА В МАДАГАСКАР - ОСТРОВ НУСИ БЕ - 29.11.2026"
"П1150","Вкусът на Азия – Виетнам и Камбоджа (12 нощувки)","2689","12","0.8","0.8","1","1","0","Abax.bg","3200","109-3200","2689.00","Вкусът на Азия - Виетнам и Камбоджа - 12 нощувки - полет от София"
"П1078","Почивка на Халкидики – Касандра (автобус от Пловдив и София)","262","7","0.8","0.8","1","1","0","Emerald Travel","479","123-479","262.48","Почивка на Халкидики - Касандра, Гърция с автобус от София и Пловдив - 7 нощувки"
"П984","Алания – Лято 2026 (самолет, вторник, 7 нощувки)","339","7","0.8","0.8","1","1","0","AQUA TOUR","1846","97-1846","339.00","АЛАНИЯ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
"П1054","Лара – Лято 2026 (самолет, събота, 7 нощувки)","443","7","0.8","0.8","1","1","0","AQUA TOUR","1860","97-1860","443.00","ЛАРА - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"П1081","Алания – Лято 2026 (самолет, събота, 7 нощувки)","357","7","0.8","0.8","1","1","0","AQUA TOUR","1848","97-1848","357.00","АЛАНИЯ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"П1142","Ексклузивни отстъпки – Почивка на о-в Джерба, Тунис","491","7","0.8","0.8","1","1","0","Emerald Travel","1432","123-1432","490.85","ЕКСКЛУЗИВНИ ОТСТЪПКИ - Почивка на о.Джерба, Тунис със самолет от София - 7 нощувки!"
"П862","Почивка в Испания – Коста дел Сол (хотел Fuengirola Park 4★)","679","7","0.8","0.67","1","1","0.67","Bohemia","1100005849","21-1100005849","679.00","Почивка в ИСПАНИЯ - КОСТА ДЕЛ СОЛ, хотел &quot;Fuengirola Park&quot; **** -  със самолет и обслужване на български език! Гарантирани места!"
"П1074","Рим – Вечният град 2026 (3 нощувки)","525","3","0.8","0.8","1","1","0","Abax.bg","3043","109-3043","524.59","РИМ - ВЕЧНИЯТ ГРАД 2026 - 3 нощувки -  полет от София"
"П1146","Перлите на Пулия и Базиликата + бонус 6 екскурзии","981","7","0.8","0.8","1","1","0","Abax.bg","3076","109-3076","980.66","Перлите на Пулия и Базиликата + БОНУС 6 включени екскурзии"
"П1120","Почивка в Кушадасъ (самолет от София до Измир, 7 нощувки)","325","7","0.8","0.75","1","1","0.25","Emerald Travel","63","123-63","324.58","Почивка в Кушадасъ, Турция със самолет от София до Измир - 7 нощувки"
"П763","Почивка в Алания (полет от Пловдив до Анталия)","368","7","0.8","0.75","1","1","0.25","OnexTour","219","94-219","368.00","Почивка в Алания, Турция с полет от Пловдив до Анталия"
"П1088","Почивка в Кушадасъ (полет от София до Бодрум)","371","7","0.8","0.75","1","1","0.25","OnexTour","187","94-187","371.00","Почивка в Кушадасъ, Турция с полет от София до Бодрум"
"П552","Почивка в Бодрум (самолет от София, събота, 7 нощувки)","380","7","0.8","0.75","1","1","0.25","Emerald Travel","1135","123-1135","380.00","Почивка в Бодрум, Турция със самолет от София в Събота - 7 нощувки"
"П988","Почивка в Алания (самолет от София, неделя, 7 нощувки)","404","7","0.8","0.75","1","1","0.25","Emerald Travel","558","123-558","403.73","Почивка в Алания, Турция със самолет от София в Неделя - 7 нощувки"
"П1134","Почивка в Сиде (самолет от София, неделя, 7 нощувки)","422","7","0.8","0.75","1","1","0.25","Emerald Travel","565","123-565","421.86","Почивка в Сиде, Турция със самолет от София в Неделя - 7 нощувки"
"П922","Почивка в Бодрум (самолет от София, четвъртък, 7 нощувки)","428","7","0.8","0.75","1","1","0.25","Emerald Travel","55","123-55","427.66","Почивка в Бодрум, Турция със самолет от София в Четвъртък - 7 нощувки"
"Е474","Екскурзия в Дания – Копенхаген, градът на приказките","649","4","0.783","0.67","1","1","0.5","Bohemia","6000004799","21-6000004799","649.00","Екскурзия в ДАНИЯ - КОПЕНХАГЕН, градът на приказките и щастливите хора, 4 НОЩУВКИ!"
"Е702","Почивка на остров Евия в Едипсос – море и СПА оазис","320","5","0.778","0.67","1","1","0.44","AlbatrosTours","262","139-262","320.00","Почивка ГЪРЦИЯ на остров ЕВИЯ в ЕДИПСОС море и СПА оазис - дар за Херакъл!"
"П1116","Екскурзия в Южна Италия – Амалфи, Позитано, Неапол","784","5","0.776","0.83","0.7","1","0.43","Emerald Travel","1738","123-1738","761.48","Екскурзия в Южна Италия - Амалфи, Позитано, Неапол, със самолет от Варна - 5 нощувки"
"Е430","Южна Корея и Япония – от Сеул до Токио","4579","12","0.775","0.63","1","1","0.63","Bohemia","6000005147","21-6000005147","4579.00","Екскурзия в ЮЖНА КОРЕЯ и ЯПОНИЯ - От Сеул до Токио - Цветовете на Далечния изток!"
"П1051","Почивка в Албания 2026 – Шенгин на Адриатическо море","370","7","0.775","0.63","1","1","0.63","Mistral Travel","1660","136-1660","370.00","Почивка в АЛБАНИЯ 2026 на Адриатическо МОРЕ в ШЕНГИН курорт до Черна Гора!"
"П917","Почивка на остров Закинтос – 7 нощувки (с транспорт)","507","7","0.775","0.75","1","1","0","Bohemia","1100006971","21-1100006971","506.99","Почивка на остров Закинтос - 7 нощувки - с включен транспорт!"
"Е737","Ница – „Le beau voyage"" (самолет, на български)","539","3","0.775","0.75","1","1","0","Bohemia","6000003716","21-6000003716","539.00","Ница - &quot;Le beau voyage&quot; - със самолет и обслужване на български език!"
"П1052","Ранни записвания в Белек, Анталия (полет от Пловдив)","577","7","0.774","0.71","1","1","0.17","Belprego Travel","1213","121-1213","577.25","Ранни записвания в Белек, Анталия - Самолетна програма, 2026 /7 нощувки с полет от Пловдив"
"П898","Почивка в Испания – Тенерифе (директни чартъри)","759","6","0.773","0.67","1","1","0.4","Emerald Travel","1526","123-1526","758.93","Почивка в Испания - остров Тенерифе, директни чартъри от София"
"П939","Почивка в Бодрум (автобус от София, 5 нощувки)","205","5","0.767","0.67","1","1","0.33","Emerald Travel","65","123-65","204.93","Почивка в Бодрум, Турция с автобус от София - 5 нощувки"
"П696","Почивка в Бодрум (автобус от София, 7 нощувки)","241","7","0.767","0.67","1","1","0.33","Emerald Travel","67","123-67","240.91","Почивка в Бодрум, Турция с автобус от София - 7 нощувки"
"П1057","Почивка в Кушадасъ (автобус от София, 12 нощувки)","249","12","0.767","0.67","1","1","0.33","Emerald Travel","664","123-664","248.93","Почивка в Кушадасъ, Турция с автобус от София - 12 нощувки"
"П758","Почивка в Дидим (автобус от София, 7 нощувки)","320","7","0.767","0.67","1","1","0.33","Emerald Travel","709","123-709","320.13","Почивка в Дидим, Турция с автобус от София - 7 нощувки"
"П1055","Почивка в Сиде (самолет от София, 7 нощувки)","422","7","0.767","0.67","1","1","0.33","Emerald Travel","1383","123-1383","421.86","Почивка в Сиде, Турция със самолет от София - 7 нощувки"
"П926","Почивка в Алания (самолет от София, 5 нощувки)","475","5","0.767","0.67","1","1","0.33","Emerald Travel","559","123-559","476.97","Почивка в Алания, Турция със самолет от София - 5 нощувки"
"П925","Почивка в Анталия (полет от София)","517","7","0.767","0.67","1","1","0.33","OnexTour","36","94-36","517.00","Почивка в Анталия, Турция с полет от София"
"П943","Почивка в Белек (самолет от София, 7 нощувки)","565","7","0.767","0.67","1","1","0.33","Emerald Travel","1373","123-1373","564.94","Почивка в Белек, Турция със самолет от София - 7 нощувки"
"П940","Почивка в Гърция – остров Корфу (7 нощувки, полет)","568","7","0.766","0.75","0.7","1","0.75","Bohemia","1100019855","21-1100019855","595.00","Почивка в ГЪРЦИЯ - ОСТРОВ КОРФУ - 7 нощувки - полет от София!"
"Е676","Екскурзия в Италия – Рим, магията на Империята (4 нощувки, втора програма)","619","4","0.766","0.57","1","1","0.8","Bohemia","6000005466","21-6000005466","619.00","Екскурзия в ИТАЛИЯ - РИМ - магията на Империята, 4 нощувки със самолет и обслужване на български език! С директен полет от ВАРНА!"
"П1160","All Inclusive почивка в Хургада – с полет от Пловдив","639","7","0.762","0.67","1","1","0.29","Abax.bg","3274","109-3274","639.11","All Inclusive почивка в Хургада с полет от Пловдив - ЕСЕН 2026"
"П1140","All Inclusive почивка в Хургада – с полет от София","659","7","0.762","0.67","1","1","0.29","Abax.bg","3010","109-3010","653.94","All Inclusive почивка в Хургада с полет от София - ЕСЕН 2026"
"Е127","САЩ – Източно и Западно крайбрежие с круиз по Бахамите","9940","28","0.757","0.71","1","1","0","2МКО","2099","20-2099","9853.00","САЩ - Източно и Западно крайбрежиe с круиз по Бахамите"
"Е713","Екскурзия до Кавала, остров Тасос и плажът Амолофи","148","2","0.757","0.71","1","1","0","AnaTravel","724","26-724","148.00","Екскурзия до Кавала, остров Тасос и плажът Амолофи с две нощувки в хотел Esperia 3***"
"П1036","Златна Прага – от София (4 нощувки, Wizz Air)","438","4","0.756","1","0.7","0.5","0","Abax.bg","3091","109-3091","427.44","ЗЛАТНА ПРАГА - от СОФИЯ - 3 нощувки- Wizz air"
"Е624","Екскурзия в Швеция, Финландия и Естония – Стокхолм, Хелзинки, Талин","929","5","0.75","0.67","1","1","0.17","Bohemia","6000004551","21-6000004551","929.00","Екскурзия в ШВЕЦИЯ, ФИНЛАНДИЯ и ЕСТОНИЯ – Стокхолм, Хелзинки и Талин, с включени 2 нощувки на круизен кораб! Със самолет и обслужване на български език!"
"Е617","Екскурзия в Етиопия – незабравимо пътуване по Северния маршрут","3378","6","0.743","0.57","1","1","0.57","Bohemia","6000005029","21-6000005029","3378.00","Екскурзия в ЕТИОПИЯ  – Незабравимо пътуване по Северния исторически път с водач на български език!"
"Е579","САЩ Западно крайбрежие с круиз по Бахамите","6511","17","0.733","0.67","1","1","0","2МКО","1590","20-1590","6460.17","САЩ - Западно крайбрежиe, с круиз по Бахамите"
"Е655","Косово – новородената държава (22 септември)","245","3","0.733","0.67","1","1","0","AlbatrosTours","606","139-606","245.00","22 Септември екскурзия КОСОВО – новородената държава в сърцето на ДАРДАНИЯ!"
"Е557","Кения: Дивото сърце на Африка","3970","7","0.732","1","0.4","1","0","MarbroTours","128","63-128","3520.00","Кения: Дивото сърце на Африка"
"Е283","Виетнам, Камбоджа и Тайланд","4106","15","0.732","1","0.4","1","0","2МКО","2131","20-2131","4415.00","ВИЕТНАМ, КАМБОДЖА И ТАЙЛАНД"
"Е341","Париж – уикенд","774","3","0.732","1","0.4","1","0","Rual Travel","3225","31-3225","818.00","Париж - уикенд"
"Е229","Очарованието на италианската и френската ривиера","765","5","0.732","1","0.4","1","0","Rual Travel","3520","31-3520","816.00","Очарованието на италианската и френската ривиера"
"Е632","Свети Валентин в Париж (самолет, на български)","749","3","0.725","0.6","1","1","0.25","Bohemia","6000003244","21-6000003244","749.00","Екскурзия във ФРАНЦИЯ - Свети Валентин в ПАРИЖ, 3 нощувки със самолет и обслужване на български език!"
"П908","Почивка в Италия – Пулия (Grand Hotel dei Cavalieri 4★)","689","7","0.724","0.75","0.7","1","0.33","Bohemia","1100006087","21-1100006087","696.00","Почивка в ИТАЛИЯ - ПУЛИЯ, хотел Grand Hotel dei Cavalieri 4* - със самолет и обслужване на български език! Гарантирани места!"
"П532","Почивка в Тунис (самолет от София, четвъртък, 7 нощувки)","381","7","0.72","1","0","1","1","Emerald Travel","982","123-982","311.25","Почивка в Тунис със самолет от София в четвъртък - 7 нощувки"
"П1131","Почивка в Италия – Римини (хотел Vittoria 4★)","689","7","0.717","0.5","1","1","0.67","Bohemia","1100020167","21-1100020167","689.00","Почивка в ИТАЛИЯ - РИМИНИ, хотел Vittoria 4* - с директен полет до Римини и обслужване на български език! Гарантирани места!"
"Е735","Магичният свят на Вроцлав и Краков","535","4","0.717","0.5","1","1","0.67","Bohemia","6000005052","21-6000005052","535.00","Екскурзия в ПОЛША - вълшебният свят на Вроцлав и Краков!"
"Е710","Корфу – островът на нимфите (хотел Hellinis 3★)","295","4","0.716","0.8","0.7","1","0","Bohemia","6000003756","21-6000003756","310.00","Корфу - островът на нимфите - хотел &quot;Hellinis&quot; 3*"
"П986","Кемер – Лято 2026 (самолет, вторник, 7 нощувки)","308","7","0.716","0.8","0.7","1","0","AQUA TOUR","1854","97-1854","324.00","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
"П1082","Кемер – Лято 2026 (самолет, събота, 7 нощувки)","357","7","0.716","0.8","0.7","1","0","AQUA TOUR","1856","97-1856","340.00","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"Е431","Екскурзия в Япония – Токио, Фуджи, Киото, Осака","3999","8","0.713","0.71","0.7","1","0.4","Bohemia","6000005537","21-6000005537","3894.00","Екскурзия в ЯПОНИЯ - Токио, Фуджи, Киото, Осака, съкровищата на Япония - с водач от България! ПОЛЕТ от ВАРНА!"
"П1039","Мечтана Сицилия + бонус 6 екскурзии (Athena Resort 4★)","773","7","0.713","0.63","1","1","0","Abax.bg","3011","109-3011","773.07","Мечтана Сицилия + БОНУС 6 екскурзии - Athena Resort Village 4* Superior полет от София"
"П1130","Сицилия – Athena Resort Village 4★ Superior","691","7","0.713","0.63","1","1","0","Abax.bg","3083","109-3083","690.76","Загадъчна Сицилия + БОНУС 3 екскурзии - Athena Resort Village 4* Superior полет от София"
"Е519","Екскурзия в Мароко – имперските градове","1149","7","0.71","0.5","1","1","0.6","Bohemia","6000001685","21-6000001685","1149.00","Екскурзия в МАРОКО - имперските градове - със самолет, водач от България! Отстъпки за ранни записвания!"
"П556","Почивка в Гърция – остров Корфу (4 нощувки, полет)","400","4","0.706","0.75","0.7","0.5","0.75","Bohemia","1100019819","21-1100019819","384.78","Почивка в ГЪРЦИЯ - ОСТРОВ КОРФУ - 3 нощувки - полет от София!"
"Е641","Почивка в Танзания – о-в Занзибар","2080","6","0.7","0.5","1","1","0.5","Bohemia","6000005150","21-6000005150","2080.00","Почивка в ТАНЗАНИЯ - о-в Занзибар - завладяващ и колоритен!"
"Е715","Китай, Хон Конг и Макао","2556","10","0.7","0.6","1","1","0","Rual Travel","3925","31-3925","2556.00","Китай, Хонг Конг и Макао"
"Е671","Китай и Планините от Аватар – Джангдзяцзи","2658","10","0.7","0.6","1","1","0","WelcomeTravel","807","19-807","2665.00","КИТАЙ И ПЛАНИНИТЕ ОТ АВАТАР 2026 - 20.09, 05.10"
"П1046","Почивка в Кампания с вкус на лимончело (полет от София)","445","7","0.7","1","0","1","0.8","Abax.bg","2963","109-2963","691.27","Почивка в КАМПАНИЯ с вкус на лимончело - полет от София - 7 нощувки"
"Е412","Париж – градът на светлината","699","3","0.7","0.6","1","1","0","Bohemia","6000000855","21-6000000855","699.00","Екскурзия във Франция - ПАРИЖ - градът на светлината"
"Е692","Екскурзия в Унгария – Будапеща (специална ваканционна програма)","389","3","0.7","0.5","1","1","0.5","Bohemia","6000003916","21-6000003916","389.00","Екскурзия в УНГАРИЯ - БУДАПЕЩА - Специална ваканционна програма за туристи над 55 години и приятели!"
"П1043","Почивка в тюркоазена Сардиния (полет от София)","486","7","0.695","1","0","1","0.75","Abax.bg","2976","109-2976","702.00","Почивка в тюркоазена Сардиния - полет от София"
"Е174","Екскурзия до Банкок, Сингапур, Камбоджа и о-в Пукет","3090","12","0.692","1","0.4","0.5","0.2","Karta Holiday","50","98-50","2890.00","Екскурзия до Банкок, Сингапур, Камбоджа и о-в Пукет"
"Е501","Европейските столици – Будапеща, Братислава, Прага и Виена","355","4","0.691","0.75","0.7","1","0","Doris","210","111-210","360.00","Европейските столици преди Коледа - Будапеща, Братислава, Прага и Виена"
"Е455","Легенди от Румъния – Букурещ, Синая, Бран и Брашов","164","2","0.691","0.75","0.7","1","0","AdvenTour","441","138-441","169.00","Легенди от Румъния ✔️ Букурещ, Синая, Бран и Брашов ✔️ от Кюстендил и Перник"
"П1059","Почивка в Коста Брава (редовен полет)","553","7","0.69","0.5","1","1","0.4","OnexTour","182","94-182","553.00","Почивка в Коста Брава от София"
"П999","Алания – Лято 2026 (автобусна програма, 7 нощувки)","270","7","0.686","0.57","1","1","0","Belprego Travel","1151","121-1151","270.47","Ранни записвания Алания Лято 2026 от София - Автобусна програма 7 нощувки"
"П1038","Автентична Сицилия (Torre Normanna 4★) + 6 екскурзии","1022","7","0.686","0.57","1","1","0","Abax.bg","3007","109-3007","1021.56","АВТЕНТИЧНА СИЦИЛИЯ - Torre Normanna 4* + БОНУС 6 включени екскурзии - полет от София"
"Е618","Почивка в Испания – остров Майорка","784","7","0.682","0.75","0.4","1","0.75","Profi Tours","719564654","141-719564654","859.00","Почивка в Испания - остров Майорка 2026 г."
"П1162","Златна Испания – Почивка в Коста Дорада 2026","471","7","0.68","1","0","1","0.6","Abax.bg","2903","109-2903","690.24","ЗЛАТНА ИСПАНИЯ - Почивка в Коста Дорада 2026"
"Е529","Екскурзия в Италия – уикенд в Болоня (Емилия Романя), самолет","357","3","0.68","1","0","1","0.6","Bohemia","6000004844","21-6000004844","599.00","Екскурзия в ИТАЛИЯ – уикенд в Болоня, ЕМИЛИЯ РОМАНЯ, със самолет, на български език!"
"П1035","Ексклузивно Мароко 2026 – имперските столици (кацане във Фес)","1125","7","0.678","0.56","1","1","0","Abax.bg","3042","109-3042","1124.84","ЕКСКЛУЗИВНО МАРОКО - ИМПЕРСКИТЕ СТОЛИЦИ - от Фес до Маракеш - хотели 3*/4* - 09.10, 23.10"
"Е540","Екскурзия в Китай – тайните на Изтока с посещение на Шаолин","3389","12","0.676","0.83","0.4","1","0.27","Bohemia","6000004099","21-6000004099","3196.00","Екскурзия в КИТАЙ – тайните на Изтока, с посещение на манастира Шаолин!"
"Е597","Екскурзия в Армения – Ереван, природа, култура и древни традиции (самолет)","779","4","0.67","1","0","1","0.5","Bohemia","6000005214","21-6000005214","959.00","Екскурзия в АРМЕНИЯ - Ереван - природа, култура и древни традиции - със самолет, на български език!"
"Е518","Най-доброто от Италия – Милано, Пиза, Флоренция, Рим","1124","6","0.669","0.54","1","1","0","Bohemia","6000002374","21-6000002374","1124.00","Най-доброто от Италия - &gt; Милано – Генуа – Пиза – Флоренция  – Сиена – Орвието – Рим, със самолет, на български език! Отстъпки за ранни записвания!"
