"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"П1103","Почивка в тюркоазена Сардиния (полет от Варна)","737","7","0.975","1","1","1","0.75","Abax.bg","2978","109-2978","736.77","Почивка в тюркоазена Сардиния - полет от Варна"
"П1138","Почивка в Дидим (самолет от Варна, събота, 7 нощувки)","447","7","0.975","1","1","1","0.75","Emerald Travel","710","123-710","447.13","Почивка в Дидим със самолет от Варна в Събота - 7 нощувки"
"Е609","Екскурзия в Германия – Баварски замъци","389","3","0.975","1","1","1","0.75","Bohemia","6000001228","21-6000001228","389.00","Екскурзия в ГЕРМАНИЯ - Баварски замъци"
"Е720","Приказка в Дисниленд – Париж (директни полети от София)","901","4","0.971","1","1","1","0.71","Boiana MG","1065189812","166-1065189812","901.00","Приказка в Дисниленд-Париж с директни полети от София"
"П1129","Почивка на о-в Крит от София","437","7","0.967","1","1","1","0.67","OnexTour","260","94-260","437.00","Почивка на о-в Крит от София"
"Е585","Екскурзия до Истанбул – самолетна, 4 дни","747","3","0.967","1","1","1","0.67","2МКО","447","20-447","747.00","Екскурзия до Истанбул самолетна - 4 дни"
"П932","Почивка в Италия – Сицилия (хотел Nike 4★)","740","7","0.967","1","1","1","0.67","Bohemia","1100006300","21-1100006300","740.00","Почивка в ИТАЛИЯ - СИЦИЛИЯ, хотел Nike 4* - със самолет и обслужване на български език!"
"П1136","Почивка в Измир (самолет от София, 7 нощувки)","682","7","0.967","1","1","1","0.67","Emerald Travel","653","123-653","682.00","Почивка в Измир със самолет от София до Измир - 7 нощувки"
"Е653","Екскурзия в Тайланд – Пукет и Банкок, Перлите на Индокитай","2959","7","0.96","1","1","1","0.6","Bohemia","6000003060","21-6000003060","2959.00","Екскурзия в ТАЙЛАНД - ПУКЕТ И БАНКОК, Перлите на Индокитай, с водач от България!"
"Е740","Екскурзия в Испания – Валенсия, история, кухня и култура","579","3","0.96","1","1","1","0.6","Bohemia","6000004840","21-6000004840","579.00","Екскурзия в ИСПАНИЯ - Валенсия - история, кухня и култура!"
"Е339","Екскурзия в Италия – Сицилия: кухня, природа и история","339","3","0.96","1","1","1","0.6","Bohemia","6000004321","21-6000004321","339.00","Екскурзия в ИТАЛИЯ - Сицилия - кухня, природа и история!"
"Е654","Екскурзия в Тайланд – Пукет и Банкок, Перлите на Индокитай","2959","7","0.96","1","1","1","0.6","Bohemia","6000003060","21-6000003060","2959.00","Екскурзия в ТАЙЛАНД - ПУКЕТ И БАНКОК, Перлите на Индокитай, с водач от България!"
"Е610","Екскурзия в Индия – Златният триъгълник с водач от България","1719","7","0.95","1","1","1","0.5","Bohemia","6000004837","21-6000004837","1719.00","Екскурзия в ИНДИЯ - златният триъгълник, с водач от България!"
"П974","Почивка в Шарм ел Шейх, Египет – със самолет от София","436","7","0.95","1","1","1","0.5","Emerald Travel","1020","123-1020","436.39","Почивка в Шарм ел Шейх, Египет със самолет от София - 7 нощувки"
"П1139","Почивка в Шарм ел Шейх, Египет – със самолет от Варна","465","7","0.95","1","1","1","0.5","Emerald Travel","1016","123-1016","465.34","Почивка в Шарм ел Шейх, Египет със самолет от Варна - 7 нощувки"
"П1091","Ексклузивни отстъпки – Почивка в Тунис (полет от Пловдив)","330","7","0.95","1","1","1","0.5","Emerald Travel","1610","123-1610","330.10","ЕКСКЛУЗИВНИ ОТСТЪПКИ - Почивка в Тунис със самолет от Пловдив  - 7 нощувки"
"П1092","Ексклузивни отстъпки – Почивка в Тунис (от София, 7 нощувки)","369","7","0.95","1","1","1","0.5","Emerald Travel","1609","123-1609","369.09","ЕКСКЛУЗИВНИ ОТСТЪПКИ - Почивка в Тунис със самолет от София - 7 нощувки"
"Е695","Екскурзия в Сърбия – Белград, сърцето на Балканите","157","2","0.95","1","1","1","0.5","Bohemia","6000000450","21-6000000450","157.00","Екскурзия в СЪРБИЯ - Белград, сърцето на Балканите - екскурзия с автобус"
"Е729","Приключение в Намибия","3996","9","0.95","1","1","1","0.5","MarbroTours","123","63-123","3996.00","Приключение в Намибия"
"Е608","Уикенд в Дубай и Абу Даби (полет на Wizz Air)","715","3","0.943","1","1","1","0.43","Bohemia","6000005351","21-6000005351","715.00","Уикенд в ДУБАЙ и АБУ ДАБИ, с полет на Wizz Air!"
"П1009","Почивка в Шарм ел Шейх, Египет – от София в неделя","454","7","0.94","1","1","1","0.4","Emerald Travel","1663","123-1663","454.14","Почивка в Шарм ел Шейх, Египет със самолет от София в Неделя - 7 нощувки"
